gene,baseMean,log2FoldChange,pvalue,padj,-log10padj
TREM2,710.221986312494,-3.2845513631397245,7.393465508963465e-08,9.16728110898895e-05,4.037759451074822
CYTOR,1005.2283398873019,2.197981991430617,0.00011156678082977446,0.008581132516252988,2.0664553912769774
GAS5,672.8351828331345,1.503200815581442,0.0001367269193343364,0.009647633112955724,2.015579220548914
AKT1,1552.4911663943917,1.4592152336658473,0.00017934062209251005,0.011551554615214099,1.9373595642242047
NFKB1,1352.2471895116496,1.7007481788838328,0.0003634963395229565,0.018396129373340373,1.735273544850867
PTEN,425.6595766004167,-1.783135773993105,9.716400389887972e-05,0.008005972504964855,2.096585905732606
IL1B,1844.7454217325921,2.127037767016494,2.7080877597203424e-07,0.00017218349091738166,3.764008491367814
TNF,1079.974405187842,1.7607269240462649,0.0032251789137760756,0.086153387896004,1.0647276396830467
IL6,1109.6365416685956,2.045962605271045,2.1015140434777794e-05,0.002627598945622343,2.580440921073761
CSF1R,635.7711164545154,-1.450614684116291,9.837125103774754e-06,0.0016823745335524662,2.7740773142764104
P2RY12,515.1802523296335,-1.6768506054005141,2.4409127397259354e-05,0.002793718511875553,2.5538173544486447
CX3CR1,457.36574385502996,-2.039916703142246,4.327503260662978e-06,0.001073148683590074,2.9693401028343382
APOE,688.1430308211919,1.1373339184648872,0.007594846254373988,0.1545878487261704,0.8108246465016102
SPP1,2078.4694810934216,2.5003173011831925,1.0452278015318692e-05,0.0017163328760412698,2.7653984786038937
MKI67,240.55543627030335,0.2481557917053189,0.31623587135539416,0.7914766137485436,0.10156191298104277
GENE00000,132.41721988307887,0.3520135971057466,0.22957131513985157,0.7322714861973676,0.13532787645748948
GENE00001,15.947738009396698,-1.0208696643818054,0.12585231275443978,0.6032720881035146,0.21948676794241495
GENE00002,387.0695589538158,0.4335577390504447,0.07248256381426399,0.5090775062595179,0.29321609196911746
GENE00003,459.1169915934324,-0.15781052824773997,0.7810721180016478,0.9560358706602926,0.019525812600917996
